885 Actor6 <= Actor80 [label="RemoveMe(G"];
886 Actor6 <= Actor6 [label="Remind"];
887 Actor6 => Actor17 [label="Rumor"];
888 Actor6 => Actor6 [label="Remind"];
889 Actor6 <= Actor22 [label="RemoveMe(G"];
890 Actor6 <= Actor6 [label="Remind"];
891 Actor6 => Actor17 [label="Rumor"];
892 Actor6 => Actor6 [label="Remind"];
893 Actor6 <= Actor6 [label="Remind"];
894 Actor6 => Actor17 [label="Rumor"];
895 Actor6 => Actor6 [label="Remind"];
896 Actor6 <= Actor6 [label="Remind"];
897 Actor6 => Actor29 [label="Rumor"];
898 Actor6 => Actor6 [label="Remind"];
899 Actor6 <= Actor6 [label="Remind"];
900 Actor6 => Actor30 [label="Rumor"];
901 Actor6 => Actor6 [label="Remind"];
902 Actor6 <= Actor6 [label="Remind"];
903 Actor6 => Actor30 [label="Rumor"];
904 Actor6 => Actor6 [label="Remind"];
905 Actor6 <= Actor6 [label="Remind"];
906 Actor6 => Actor17 [label="Rumor"];
907 Actor6 => Actor6 [label="Remind"];
908 Actor6 <= Actor6 [label="Remind"];
909 Actor6 => Actor17 [label="Rumor"];
910 Actor6 => Actor6 [label="Remind"];
911 Actor6 <= Actor6 [label="Remind"];
912 Actor6 => Actor29 [label="Rumor"];
913 Actor6 => Actor6 [label="Remind"];
914 Actor6 <= Actor6 [label="Remind"];
915 Actor6 => Actor29 [label="Rumor"];
916 Actor6 => Actor6 [label="Remind"];
917 Actor6 <= Actor6 [label="Remind"];
918 Actor6 => Actor30 [label="Rumor"];
919 Actor6 => Actor6 [label="Remind"];
920 Actor6 <= Actor6 [label="Remind"];
921 Actor6 => Actor29 [label="Rumor"];
922 Actor6 => Actor6 [label="Remind"];
923 Actor6 <= Actor6 [label="Remind"];
924 Actor6 => Actor29 [label="Rumor"];
925 Actor6 => Actor6 [label="Remind"];
926 Actor6 <= Actor6 [label="Remind"];
927 Actor6 => Actor17 [label="Rumor"];
928 Actor6 => Actor6 [label="Remind"];
929 Actor6 <= Actor6 [label="Remind"];
930 Actor6 => Actor29 [label="Rumor"];
931 Actor6 => Actor6 [label="Remind"];
